pX,pY
239400.706093,57792.430912
239400.706087,57992.428932
242855.930372,87812.088486
243055.928392,87812.088491
68626.411483,130347.246947
16224.96939,121080.000005
16524.967411,121080.0
46312.881866,124920.808378
46312.881871,125120.806399
59061.955479,115147.002802
59061.955484,115347.000823
63049.293907,108192.430912
63049.293913,108392.428932
76332.077902,121475.31909
76332.077907,121275.321069
59594.069628,138212.088486
59394.071608,138212.088491
58912.051229,132677.0
58912.051224,132876.998021
59205.000005,152300.03061
59205.0,152000.032589
63444.999995,152300.03061
63445.0,152000.032589
63444.999995,144300.03061
63445.0,144000.032589
59205.000005,176300.03061
59205.0,176000.032589
63444.999995,176300.03061
63445.0,176000.032589
68826.411483,130347.246947
233823.588517,79947.246947
256137.118134,74520.808378
256137.118129,74720.806399
243388.044521,64747.002802
243388.044516,64947.000823
226117.922098,71075.31909
226117.922093,70875.321069
243537.948771,82277.0
243537.948776,82476.998021
278087.247576,77900.807046
277907.218363,77900.807046
233623.588517,79947.246947
337.96939,125487.500005
337.96939,125645.000005
8224.96939,121080.000005
8524.967411,121080.0
8224.96939,125319.999995
8524.967411,125320.0
40224.96939,121080.000005
40524.967411,121080.0
16224.96939,125319.999995
16524.967411,125320.0
59205.000005,144300.03061
59205.0,144000.032589
40224.96939,125169.999995
40524.967411,125170.0
106425.03061,125319.999995
106125.032589,125320.0
106425.03061,121080.000005
106125.032589,121080.0
82425.03061,125319.999995
82125.032589,125320.0
82425.03061,121080.000005
82125.032589,121080.0
59205.000005,78099.96939
59205.0,78399.967411
59205.000005,102099.96939
59205.0,102399.967411
63444.999995,78099.96939
63445.0,78399.967411
63444.999995,102099.96939
63445.0,102399.967411
63444.999995,94099.96939
63445.0,94399.967411
59205.000005,94099.96939
59205.0,94399.967411
63444.999995,70099.96939
63445.0,70399.967411
59205.000005,70099.96939
59205.0,70399.967411
270225.03061,70847.500014
270055.0,70847.500002
262225.03061,70847.500014
262053.444281,70847.500002
294055.032589,70847.5
294225.03061,70847.500005
286225.03061,70860.000005
286055.0,70860.0
294225.03061,74739.999995
294055.032589,74740.0
278087.247576,77733.307046
277907.218363,77733.307046
270055.0,74752.5
270225.03061,74752.499995
277820.0,68453.67274
277819.999995,68653.670761
262053.47687,74660.019363
262223.474891,74660.01936
286055.032589,74740.0
286225.03061,74739.999995
302112.03061,74937.500005
302112.03061,74787.500005
8224.96939,125169.999995
8524.967411,125170.0
16224.96939,125169.999995
16524.967411,125170.0
40224.96939,125319.999995
40524.967411,125320.0
63294.999995,70099.96939
63295.0,70399.967411
63294.999995,78099.96939
63295.0,78399.967411
63294.999995,102099.96939
63295.0,102399.967411
63294.999996,94099.96939
63295.000001,94399.967411
59355.000005,176300.03061
59355.0,176000.032589
59355.000005,152300.03061
59355.0,152000.032589
59355.000005,144300.03061
59355.0,144000.032589
76332.077902,121105.31909
76332.077907,120905.321069
82425.03061,121230.000005
82125.032589,121230.0
106424.856416,121229.999729
106124.858396,121229.999724
101800.0,46627.503484
122195.078538,44666.28812
122195.078545,44366.2901
93700.0,45375.0
101800.0,46777.503484
129518.206767,46006.221984
129818.204788,46006.22199
93700.0,45225.0
243110.142167,133787.03061
243077.499995,125900.03061
239172.500005,125900.03061
239172.500005,117900.03061
243077.499995,117900.03061
246008.307041,109581.98781
243077.499995,101899.998021
239172.500005,101900.03061
243077.499995,93900.03061
233623.976313,79521.831459
