StartX,StartY,EndX,EndY
239400.706093,57847.430912,239400.706087,57937.428932
242910.930372,87812.088486,243000.928392,87812.088491
220079.96939,74919.999995,220262.467411,74920.000001
239004.999999,93662.532589,239005.000005,93845.03061
239004.999999,117662.532589,239005.000005,117845.03061
243244.999998,117762.532589,243244.999995,117845.03061
239004.999999,125662.532589,239005.000005,125845.03061
236841.172741,109700,236923.670762,109699.999995
196079.96939,74919.999995,196262.467411,74920.000001
188487.532589,74919.999992,188570.03061,74919.999995
239005.000005,43754.96939,239005.000002,43837.467411
243244.999995,43754.96939,243245.000001,43937.467411
239005.000005,19754.96939,239005.000002,19837.467411
243244.999995,27754.96939,243245.000001,27937.467411
16279.96939,121080.000005,16462.467411,121079.999994
46312.881866,124975.808378,46312.881871,125065.806399
59061.955479,115202.002802,59061.955484,115292.000823
63049.293907,108247.430912,63049.293913,108337.428932
76332.077907,121330.321069,76332.077902,121420.31909
59449.071608,138212.088491,59539.069628,138212.088486
58912.051229,132732.0,58912.051224,132821.998021
59205.000012,152062.532589,59205.000008,152162.532589
59205.000008,152162.532589,59205.000005,152245.03061
63445.0,152162.532589,63444.999995,152245.03061
63445.0,144162.532589,63444.999995,144245.03061
59205.000012,176062.532589,59205.000008,176162.532589
59205.000008,176162.532589,59205.000005,176245.03061
63445.0,176162.532589,63444.999995,176245.03061
16279.96939,121080.000005,16462.467411,121079.999999
68688.911483,130347.246947,68771.411483,130347.246947
63445.000001,144062.532589,63444.999998,144162.532589
63444.999998,144162.532589,63444.999995,144245.03061
63445.000001,152062.532589,63444.999998,152148.251315
63444.999998,152148.251315,63444.999998,152162.532589
63444.999998,152162.532589,63444.999995,152245.03061
59205.000002,152162.532589,59205.000005,152245.03061
63445.000001,168062.532589,63444.999995,168245.03061
63445.000001,176062.532589,63444.999998,176162.532589
63444.999998,176162.532589,63444.999995,176245.03061
59205.000002,176162.532589,59205.000005,176245.03061
65526.329238,160099.999995,65608.827259,160100.0
98149.999995,127401.329236,98150.0,127483.827257
24425.0,118916.17274,24425.000005,118998.670761
256137.118134,74575.808378,256137.118129,74665.806399
243388.044521,64802.002802,243388.044516,64892.000823
226117.922093,70930.321069,226117.922098,71020.31909
243537.948771,82332.0,243537.948776,82421.998021
277962.218363,77900.807046,278024.747576,77900.807046
270087.532589,74919.999998,270170.03061,74919.999995
261987.532589,70679.999999,262170.03061,70680.000005
278025.0,68516.17274,278024.999995,68598.670761
285987.532589,70679.999999,286170.03061,70680.000005
233678.588517,79947.246947,233761.088517,79947.246947
235747.699042,30736.656122,235747.699042,30249.573404
235502.868592,30214.573404,235747.699042,30214.573404
198753.75,67422.751191,199207.034107,67422.751191
199242.034107,67422.751191,199242.034107,67667.581641
243245.000001,125662.532589,243244.999995,125845.03061
243245.000001,101662.532589,243244.999995,101845.03061
239004.999999,101662.532589,239005.000005,101845.03061
248700.0,87820.0,248700.0,88273.284107
248700.0,88308.284107,248944.83045,88308.284107
204225.000005,77001.329239,204225.0,77083.82726
269987.532589,70680.0,270087.532589,70680.0
293987.532589,70680.0,294087.532589,70680.0
243244.999995,51754.96939,243245.000001,51937.467411
245322.818991,35897.606336,245405.317012,35897.606331
243244.999995,19754.96939,243245.000001,19937.467411
53870.0,138220.0,53870.0,138673.284107
53625.16955,138708.284107,53870.0,138708.284107
8279.96939,121080.000005,8462.467411,121080.000012
8279.96939,125319.999995,8462.467411,125319.999988
40279.96939,121080.000005,40362.467411,121080.0
40279.96939,121080.000005,40362.467411,121080.000002
40362.467411,121080.000002,40462.467411,121079.999999
24425.0,118916.17274,24425.000005,118998.670761
24425.000005,118998.670761,24425.000005,118998.670761
16279.96939,125319.999995,16462.467411,125320.000006
59205.000016,144062.532589,59205.000005,144245.03061
40279.96939,125319.999995,40462.467411,125319.999984
106187.532589,125320.000006,106287.532589,125320.0
106287.532589,125320.0,106370.03061,125319.999995
106287.532589,125319.999998,106370.03061,125319.999995
113879.96939,125319.999995,113962.467411,125319.999992
106187.532589,121079.999994,106370.03061,121080.000005
82287.532589,125320.0,82370.03061,125319.999995
82187.532589,125320.000001,82287.532589,125319.999998
82287.532589,125319.999998,82370.03061,125319.999995
82187.532589,121080.000016,82370.03061,121080.000005
90287.532589,125319.999998,90370.03061,125319.999995
90187.532589,121080.0,90287.532589,121080.0
59205.000005,78154.96939,59204.999994,78337.467411
59205.000005,78154.96939,59204.999999,78337.467411
59205.000005,102154.96939,59204.999994,102337.467411
63444.999995,78154.96939,63445.000006,78337.467411
63444.999995,102154.96939,63444.999984,102337.467411
63444.999995,94154.96939,63444.999988,94337.467411
59205.000005,94154.96939,59205.0,94237.467411
63444.999995,94154.96939,63445.000001,94337.467411
59205.000005,94154.96939,59205.000002,94237.467411
59205.000002,94237.467411,59204.999999,94337.467411
57044.682989,86300.098653,57127.18101,86300.098658
63444.999995,70154.96939,63444.999988,70337.467411
59205.000005,70154.96939,59205.0,70237.467411
59205.000005,70154.96939,59205.000002,70237.467411
59205.000002,70237.467411,59204.999999,70337.467411
40224.96939,121135.000005,40224.96939,125114.999995
40524.967411,121142.5,40524.967411,125107.5
16224.96939,121135.000005,16224.96939,125114.999995
16524.967411,121142.5,16524.967411,125107.5
8224.96939,121135.000005,8224.96939,125114.999995
8524.967411,121142.5,8524.967411,125107.5
59267.5,70399.967411,63232.5,70399.967411
59260.000005,70099.96939,63239.999995,70099.96939
59267.5,78399.967411,63232.5,78399.967411
59260.000005,78099.96939,63239.999995,78099.96939
59260.000005,94099.96939,63239.999996,94099.96939
59205.0,94462.467411,59205.0,94576.401212
59205.0,94576.401212,63295.000001,94576.401212
63295.000001,94462.467411,63295.000001,94576.401212
